1589144709,outdoor_gate_1_switch,gate_open
1589144709,kitchen_light_1_switch,light_on
1589144709,bedroom_2_light_1_switch,light_on
1589145425,outdoor_gate_1_switch,gate_close
1589145585,corridor_light_1_sensor,light_on
1589145774,bedroom_1_light_1_switch,light_on
1589146694,bedroom_1_light_2_switch,light_on
1589146857,kitchen_light_2_switch,light_on
1589147102,kitchen_light_1_switch,light_off
1589147352,bedroom_3_light_1_switch,light_on
1589147464,bedroom_2_light_1_switch,light_off
1589147495,bedroom_3_light_1_switch,light_off
1589147942,bedroom_1_light_2_switch,light_off
1589147975,bedroom_3_light_1_switch,light_on
1589148124,bedroom_1_light_1_switch,light_off
1589148156,bedroom_1_light_1_switch,light_on
1589148197,bedroom_3_light_2_switch,light_on
1589148299,corridor_light_1_sensor,light_off
1589148417,kitchen_light_2_switch,light_off
1589149322,bedroom_2_light_1_switch,light_on
1589149423,bedroom_1_light_1_switch,light_off
1589149660,bedroom_2_light_1_switch,light_off
1589149741,bedroom_3_light_1_switch,light_off
1589150059,bedroom_2_light_1_switch,light_on
1589150596,bedroom_2_light_1_switch,light_off
1589151407,bedroom_1_light_1_switch,light_on
1589151415,bedroom_3_light_2_switch,light_off
1589151524,bedroom_1_light_2_switch,light_on
1589152157,bedroom_1_light_3_switch,light_on
1589152176,bedroom_1_blind_1_switch,blind_up
1589152879,bedroom_1_light_3_switch,light_off
1589153484,bedroom_1_light_2_switch,light_off
1589153513,living_room_light_1_switch,light_on
1589153636,living_room_light_2_switch,light_on
1589153685,bedroom_1_blind_1_switch,blind_down
1589153785,living_room_light_1_switch,light_off
1589153793,living_room_light_1_switch,light_on
1589154372,living_room_light_3_switch,light_on
1589154383,living_room_blind_1_switch,blind_up
1589154535,living_room_light_1_switch,light_off
1589154610,living_room_light_3_switch,light_off
1589154616,bedroom_1_light_1_switch,light_off
1589154683,living_room_blind_1_switch,blind_down
1589155539,living_room_light_1_switch,light_on
1589155610,living_room_light_1_switch,light_off
1589155903,living_room_light_2_switch,light_off
1589157121,bedroom_1_light_1_switch,light_on
1589157798,living_room_light_1_switch,light_on
1589158131,bedroom_1_light_1_switch,light_off
